,Model,label,MAE,MSE,RMSE,MAPE,SMAPE,MSLE
0,NaiveMean,Group Size Disparity,0.2946549433200251,0.1312433249053995,0.3622468703993234,4789747866732.059,0.6514130868110011,0.0567234745502754
1,NaiveMean,Prevalence Disparity,0.0736594990062009,0.0092680600439261,0.0962296292424019,143204681252.32123,0.9002049129671837,0.0069388090717778
2,NaiveMean,equal_opportunity,0.1262846424872253,0.0321013845142582,0.1790611430441412,2914655579618.952,0.8375298194661991,0.0186832176722588
3,NaiveMean,disparate_parity,0.1223226354398685,0.0263546982751012,0.1622885732373061,2616956714805.6445,0.8184890210381294,0.0163741257465929
4,NaiveMean,individual_fairness,0.3295978175401399,0.1532460298045379,0.3914393551048162,3.2843940714521267,0.8205320250992953,0.0653796782818549
5,NaiveMean,group_fairness,0.3454545997992509,0.1716227901343734,0.4142452975876901,4.08359062670904,0.8207179053811924,0.0702519274290455
6,NaiveNormal,Group Size Disparity,0.4128306372890011,0.2651507678221237,0.5148935602814202,4692414344271.939,0.8921644986118455,0.1012999540291349
7,NaiveNormal,Prevalence Disparity,0.1064611768446115,0.018609256399127,0.1364015452839059,183665218539.09103,1.184593586297058,0.0116446509812643
8,NaiveNormal,equal_opportunity,0.1927992197871224,0.0636556464992212,0.2522517548803398,3873215933322.634,1.1737202924237242,0.0322298755703052
9,NaiveNormal,disparate_parity,0.1789085122176107,0.0529989526888308,0.2301729909373309,3213853655021.358,1.1170124339786434,0.0283220040542334
10,NaiveNormal,individual_fairness,0.4438677127825065,0.30602548596934,0.5531834371470937,3.932955009309771,1.0506685637335664,0.1126314296439393
11,NaiveNormal,group_fairness,0.4684705207387688,0.3426633382107257,0.5853504721726561,4.722369626174208,1.0576818149018916,0.1220164922784139
12,LinearRegression,Group Size Disparity,0.2946593858747759,0.1312441694600096,0.3622474962926628,4778093152420.518,0.65138949235548,0.0567269942126548
13,LinearRegression,Prevalence Disparity,0.0665741449813772,0.0077612019920788,0.0880675466960023,114084506470.79495,0.8734922946576619,0.0057309093466283
14,LinearRegression,equal_opportunity,0.12161181686136,0.0299569457203627,0.1729767271872115,2357699299666.2954,0.8086878693847694,0.017378169521633
15,LinearRegression,disparate_parity,0.1100512747059747,0.0220398757141122,0.1484218572628891,1603061018919.8335,0.7828697049725901,0.0134447394996917
16,LinearRegression,individual_fairness,0.2476491272609284,0.10088599405782,0.3175994071430731,1.93925354271352,0.6876431801690837,0.0405742506735706
17,LinearRegression,group_fairness,0.261415477056632,0.1143322620408553,0.3381025468345814,2.330655752278402,0.6910481401587046,0.0439061428009311
18,Lasso,Group Size Disparity,0.294673265658155,0.1312526457281959,0.3622597771824082,4789453717402.24,0.6514438221325911,0.0567258160550043
19,Lasso,Prevalence Disparity,0.073644280941147,0.0092645332532324,0.096211737824975,143137092868.19907,0.9001213554504119,0.0069360414209479
20,Lasso,equal_opportunity,0.1262793471050921,0.032100493043347,0.1790585861046972,2914322741106.5234,0.8375029771229261,0.0186823113796393
21,Lasso,disparate_parity,0.1222688385504255,0.026339284074376,0.1622415010275734,2616068122747.225,0.8183063428116085,0.0163641932573323
22,Lasso,individual_fairness,0.3295350253908251,0.1532156478581423,0.3914004436179242,3.2836721549032326,0.8202349839211506,0.065363631742756
23,Lasso,group_fairness,0.3453892474175142,0.1715886245928727,0.4142039071398699,4.082887901223025,0.8204308924407924,0.0702341617861639
24,XGBoost,Group Size Disparity,0.2945022207850636,0.1310220464829182,0.3619398074680097,4778891136095.979,0.6514552830125047,0.0566277398778796
25,XGBoost,Prevalence Disparity,0.0568340965015632,0.0057728706890406,0.0759592546435187,115795703122.84012,0.7821688644169517,0.0043581740796778
26,XGBoost,equal_opportunity,0.1068774065040648,0.0250799547825243,0.1582909528510817,1779715411143.825,0.7302926748946157,0.0145275675081537
